Category,Text
5,why are yawns contagious? when people yawn
6,what is trans fat? how to reduce that? i heard that tras fat is bad for the body.  why is that? where can we find it in our daily food?
1,roth ira vs 401k? what is the difference between roth ira and 401k? when should i prefer one over the other?
1,how many planes fedex has? i heard that it is the largest airline in the world
3,what was the first dvd you ever bought? what was the first dvd you ever bought?
3,is lin qingxia (aka brigitte lin) the most beautiful woman in chinese cinema? this is according to stephen chow (http://www.hkentreview.com/2005/features/kfh/kfhprem.html). is it true? who is the best-looking male star? did they make any movies together?
5,who said the statement below and what does it mean? can someone help me with understanding someone else's wisdom
5,how do i find an out of print book? when i was a kid i remember seeing a book that was like an yearbook of all newspapers published by the times during ww ii. each of the years is compiled into a different book. &#xd;&lt;br&gt;it gave one a very uniqie perspecitev into the uk druing the war
1,what are some tips on finding a good mortgage broker? what are some tips on finding a good mortgage broker?
7,what is an imaginary number? what is an imaginary number
6,treatments for gout? my father has gout. what are the best treatments for it?
7,faxing a pizza would we be able to fax a pizza in the future? how far are we from creating a machine that can beam people from one place to another?
3,when will her majesty be released in dvd format? her majesty was a movie in limited release early in 2005.  i am interested in getting a copy of it in dvd format upon release.
5,how to get rid of a beehive? who can tell me how to get rid of a beehive with out getting stung?
1,economics of running a restaurant? running a restaurant looks like hard work and long hours. &#xd;&lt;br&gt;&lt;br&gt;what percentage of restaurants are profitable?  and what is the average revenue and net income of a small restaurant?
7,why do gas stations mix ethanol into gas? why do gas stations mix ethanol into gas?
4,won't the concept of arranged marriage go away eventually? i think it will fade away.
5,what's the longest english word without a vowel in it? and what does that word mean if it's not a common word.
7,how does a helicopter fly this is a miracle- i always wanted to learn to fly one of those. can someone explain how can it get airborne?
7,a baby's eyes why does all babies have relatively large eyes
3,why do some dvds freeze up during playback? how come some dvd's freeze during playback
7,do animals have feelings? can an animal feel regrets 
1,why is there often a mirror in an elevator? what is the history behind it?
1,what's the best investment when interest rate goes higher? what's the best investment when interest rate goes higher?  `stocks`? or 'bonds'? or cds?
7,can someone explain the theory of e=mc2? i have forgotten what this means.
3,what's the cheapest source for ordering dvds from asia? what's the cheapest source for ordering dvds from asia?
7,what causes air turbulence while flying? how can pilots tell when it is coming up?  how can they tell how severe it will be?  how about in dry/hot climates?
5,what was james bond's wife's name? i seem to be having my temporary memory lapse and can't seem to be recollecting my deceased wife's name. can someone help?&#xd;&lt;br&gt;&lt;br&gt;-- 007
1,how do i take my money out of 401k without penalty? if i change a job
1,condo/townhouse pricing in san jose
7,at what level are math olympiads held for kids? do math olympiads begin at elementary level or at middle or at high school?
5,for coliege admission
7,what is the cause for headaches i have a really bad one now so wondering
3,what is the best ymu-compatible mp3 player out there? i have an ipod photo 30gb but am considering selling it to switch to yahoo! music unlimited.  any recommendations on the best players that are compatible with the subscription service ymu?  looking for similar 30gb capacity.  color and ability to capture / show digital photos like the ipod photo would be desirable features.
7,what are gamma ray bursts? i heard about those
1,who would you like to be superman spiderman or mightymouse?
7,why is it so foggy in san francisco?
1,which car and house insurance company is recommended in california? and with which one you had a bad experience?
5,why do all zippers have ykk on them?
7,why do people amputate dogs tail? what is the reason that some types of dog are considered to be better off with out their tail?
7,how come stars are generally round? re there any square stars in the galaxy?
2,is paid inclusion a good way to monetize a search engine? i'm thinking about starting my own search engine and wondering how to make money off of it. would a paid inclusion program be a good idea?
2,what is the best relational database? http://www.oracle.com/&#xa;&#xa;http://www.mysql.com&#xa;&#xa;www.mysql.org
7,why does zebras have stripes? what is the purpose or those stripes? who do they serve the zebras in the wild life?
7,why do we yawn? how is it contagious...
7,why can i see myself in a mirror?
3,who do you think will win the election on the west wing?
4,loving stepchildren? when you marry someone who has children from a previous relationship
7,what are the base colors? those few colors that you can create all the rest of the colors out of their mix
1,should married couples have joint bank accounts and credit cards?
3,what's does the lock of hair mean at the end of gattaca? i just watched gattaca yesterday (the 1997 sci-fi film with ethan hawke and uma thurman).  at the end of the film when vincent is the the space ship shooting towards saturn
